,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42
location,278253.0,337537.0,345138.0,583879.0,650378.0,690597.0,956117.0,1120719.0,1122249.0,1306799.0,1612924.0,1669564.0,2029244.0,2286671.0,2308866.0,2415462.0,2621668.0,2731517.0,2773377.0,2783645.0,2882785.0,2995832.0,3184173.0,3196419.0,3269489.0,3303342.0,3314562.0,3375048.0,4000437.0,4089854.0,4214714.0,4260996.0,4392864.0,4452064.0,4514729.0,4830334.0,5000354.0,5376695.0,5501787.0,5571555.0,5641191.0,5670067.0,5948852.0
score,0.9999281134481054,0.5550905462072895,0.9999260148295525,0.9999068405118081,0.999887792039823,0.9999235371786277,0.9998740821977591,0.5582781643082853,0.9479906432231074,0.998897433738833,0.9999446284252057,0.5597310821469141,0.9999385376639038,0.9999250166509835,0.9998875898555368,0.988333464538556,0.999949858432782,0.9999305874793145,0.9999571554969778,0.9659254697229858,0.9998444828702819,0.9996789453287666,0.9999183796311532,0.999944863725494,0.999966089037996,0.9998439976649659,0.8672466930166194,0.9999482292437945,0.999928233353548,0.9999378348152618,0.9997494048969625,0.9999459291850944,0.9984413489928148,0.9999221650951536,0.9999293833484726,0.9999606238443257,0.9998841659209193,0.996536494775761,0.9999219405121402,0.9998769572656047,0.7564453658358121,0.9999155097768696,0.9996474922834682
amplitude,-21.394181844794062,-2.4084651738198257,-14.066130268669323,-14.668201709813466,-14.89050812573463,-14.607721063659984,-10.914739307385073,-5.071687556597331,-9.380804397814707,-5.6534562523562135,-14.45249331788347,-2.4939149453775196,-12.147654396822873,-11.785524830891834,-9.01549205571018,-3.7682030548725374,-17.037218558632322,-14.302618809180958,-11.047510802231045,-2.4188154832966386,-9.666504361246776,-10.15562115037553,-17.10353947800974,-10.766635506794021,-14.247259943381636,-10.144368002276089,-4.582355572220235,-10.104921891918297,-11.886471996495324,-8.248232598426743,-6.400149948869124,-9.729906821791115,-9.11270159018451,-7.848163230271918,-9.508653745928287,-12.123932052592544,-11.281566491031786,-5.894119521953785,-10.111490091540272,-6.772520592224114,-2.202319430103201,-9.440032861787854,-5.71647568965634
charge,-0.01767277701479799,-0.0009073137459413475,-0.02057658886089504,-0.011302860845311222,-0.014201986541632032,-0.017437371466921443,-0.011088975484286275,-0.02691021759486914,-0.02059061586088115,-0.013709803084160345,-0.017625432147609955,-0.0019456709423499553,-0.018090267755028498,-0.027653784392063577,-0.01914660809152128,-0.004936639128407223,-0.020886899620869197,-0.01821357578312567,-0.01574581628007711,-0.0018222497606689596,-0.010477615375424435,-0.015863981798272777,-0.014850785212486966,-0.01344448179321284,-0.018595187880641517,-0.022303887180484587,-0.002972306459783344,-0.016106240470761604,-0.012332480306397352,-0.011670466479815823,-0.0075978054671583485,-0.015661269644459196,-0.012125812595066194,-0.010865703102495072,-0.012672876752902542,-0.02128277801808421,-0.028513936853439278,-0.006097192938274711,-0.010874165567637966,-0.009016100153862732,-0.0010163518217241657,-0.011461834641692656,-0.006601363569145531
risetime,0.000255,0.00013000000000000002,0.00024000000000000003,0.00020500000000000002,0.00018500000000000002,0.00035000000000000005,0.00021,0.0011400000000000002,0.0007450000000000001,0.0007650000000000001,0.00024500000000000005,0.00044500000000000003,0.00036500000000000004,0.00043000000000000004,0.0009550000000000001,0.00039000000000000005,0.00023500000000000002,0.00023500000000000002,0.00031,0.00026000000000000003,0.00038,0.00033000000000000005,0.00024000000000000003,0.00027,0.00021500000000000002,0.00042,0.00024000000000000003,0.00036,0.000355,0.00024500000000000005,0.0005,0.000335,0.000485,0.00024500000000000005,0.000155,0.000375,0.000275,0.00024000000000000003,0.00016500000000000003,0.00038500000000000003,0.00038500000000000003,0.00026500000000000004,0.000375
decaytime,0.0004,0.0002,0.0008,0.00036,0.00054,0.00054,0.0005,0.0031400000000000004,0.0013000000000000002,0.0011400000000000002,0.0005,0.00026000000000000003,0.0009400000000000001,0.0013200000000000002,0.00068,0.0010400000000000001,0.0007000000000000001,0.00068,0.0007400000000000001,0.00018,0.0005,0.0009600000000000001,0.00046,0.00064,0.0006600000000000001,0.00134,0.00032,0.00088,0.00042,0.0009000000000000001,0.00044,0.00072,0.00048000000000000007,0.00058,0.00076,0.00102,0.0017400000000000002,0.00064,0.00046,0.00068,0.00012000000000000002,0.00072,0.00064
halfwidth,0.0006266818845637873,0.001168658747840414,0.0010438747675893091,0.0005593190364388406,0.0007218758012193785,0.001119078059261782,0.0009966179568604901,0.009654051540603108,0.002148252266527473,0.009890006173586093,0.0012429557592899933,0.002026551493280026,0.0011854195279209015,0.0017163705923383668,0.002140675521408247,0.013488759141852883,0.0008653878992140552,0.000891809729064187,0.001242040568059227,0.0030333245896882396,0.0008826343380712448,0.0012966333902876912,0.000660858477965244,0.0014012754867602012,0.0012068591472881307,0.0015659518206120604,0.0004488903050098138,0.001145612862847539,0.0008291421180064255,0.0010898859180300336,0.0011080696950499314,0.0013345069251154843,0.0009047555085774112,0.002436025100027432,0.000902989833360639,0.0012805695553033975,0.002209973888900264,0.0008389091703095873,0.0011168039614272039,0.0010560059164448467,0.011502213243167156,0.0009198633289646159,0.000968950944352071
interval,nan,1.1856200000000001,0.15207999999999977,4.77478,1.3299600000000016,0.8045200000000001,5.310279999999999,3.292460000000002,0.0302599999999984,3.6911000000000023,6.122479999999996,1.1329200000000057,7.193359999999998,5.148699999999998,0.4444599999999994,2.1312400000000054,4.124020000000002,2.197019999999995,0.8372799999999998,0.20535999999999888,1.9828800000000015,2.2608999999999995,3.766680000000001,0.24495999999999896,1.4614400000000032,0.6770000000000067,0.22435999999999012,1.2098200000000077,12.50788,1.7881399999999985,2.497460000000004,0.9255599999999902,2.637420000000006,1.1839200000000005,1.2531000000000034,6.3122399999999885,3.400320000000008,7.526840000000007,2.5017999999999887,1.3955600000000032,1.3953400000000045,0.5747399999999914,5.575800000000001
