,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42
location,278254.0,337537.0,345138.0,583879.0,650378.0,690597.0,956117.0,1120719.0,1122250.0,1306800.0,1612924.0,1669563.0,2029244.0,2286671.0,2308866.0,2415462.0,2621668.0,2731517.0,2773377.0,2783645.0,2882785.0,2995833.0,3184173.0,3196419.0,3269490.0,3303342.0,3314562.0,3375048.0,4000437.0,4089854.0,4214714.0,4260996.0,4392864.0,4452064.0,4514729.0,4830334.0,5000355.0,5376695.0,5501788.0,5571555.0,5641190.0,5670067.0,5948852.0
score,0.9999281134481054,0.5550905462072895,0.9999260148295525,0.9999068405118081,0.999887792039823,0.9999235371786277,0.9998740821977591,0.5582782235654449,0.9479906432231074,0.998897433738833,0.9999446284252057,0.5597310821469141,0.9999385376639038,0.9999250166509835,0.9998875898555368,0.988333464538556,0.999949858432782,0.9999305874793145,0.9999571554969778,0.9659254697229858,0.9998444828702819,0.9996789453287666,0.9999183796311532,0.999944863725494,0.999966089037996,0.9998439976649659,0.8672467514337014,0.9999482292437945,0.999928233353548,0.9999378348152618,0.9997494048969625,0.9999459291850944,0.9984413489928148,0.9999221650951536,0.9999293833484726,0.9999606238443257,0.9998841659209193,0.996536494775761,0.9999219405121402,0.9998769572656047,0.7564453658358121,0.9999155097768696,0.9996474922834682
amplitude,-21.30119968774564,-2.4067941223992495,-13.445871550044545,-14.483983785113434,-15.101319493363425,-14.131352424472347,-10.588567770737189,-4.939855607272849,-9.21906237430976,-5.579609218132388,-14.29626420533612,-2.6086954003548284,-11.477629532549381,-11.421354211050854,-8.506288157109113,-3.6070608126599906,-16.425435279437732,-14.180247302829898,-11.003887562934665,-2.4034154491899757,-9.314741192563492,-9.578073311205966,-16.81551902309404,-10.337863748507917,-14.188891725477664,-10.336212096342868,-4.4809877102485585,-10.192265658267873,-11.573618999526888,-8.179004729292487,-6.301139902497672,-9.613973308352776,-9.105528442960424,-8.054713931156197,-9.22818007741099,-11.9337656871534,-11.460965820649804,-6.128791307100878,-10.00948518815995,-6.536785952009414,-1.9272766265853951,-9.288544755005042,-5.538428732249958
charge,-0.01830519164387799,-0.0008396666171355295,-0.018898625347663865,-0.012215338008311772,-0.014024719906504675,-0.018712369562344684,-0.013870063682870987,-0.02591255336399854,-0.0205985505425822,-0.014453814231838339,-0.017228496638644394,-0.002249395902914565,-0.01681248848080981,-0.026998687817482183,-0.018804205979257395,-0.005429301152383974,-0.02016628512635009,-0.018767351297273173,-0.015942354639490973,-0.00202339549368599,-0.010568990549255234,-0.013824054367587376,-0.014753983229899202,-0.012980025775472373,-0.018557969735417523,-0.02428576810102228,-0.003127015546058957,-0.01680495740489557,-0.012572292834411433,-0.01156270014852376,-0.007752200813262715,-0.015652018650566937,-0.012780461632297204,-0.012105426007952006,-0.012022498146166084,-0.0210509340597901,-0.02872393749768566,-0.006786869325884381,-0.011257855631375989,-0.009525137966676716,-0.0027589439472020137,-0.011560780395816551,-0.006765774332732493
risetime,0.00026000000000000003,0.00014000000000000001,0.00024000000000000003,0.00022,0.00022,0.00034,0.00022,0.00134,0.0007400000000000001,0.00076,0.00026000000000000003,0.00046,0.00036,0.00038,0.00092,0.0004,0.00024000000000000003,0.00024000000000000003,0.00030000000000000003,0.0002,0.00024000000000000003,0.00032,0.00026000000000000003,0.00026000000000000003,0.00026000000000000003,0.0004,0.00022,0.00034,0.00032,0.00026000000000000003,0.00044,0.00034,0.00044,0.00026000000000000003,0.00018,0.00036,0.00030000000000000003,0.00024000000000000003,0.00018,0.00034,0.00014000000000000001,0.00026000000000000003,0.00036
decaytime,0.00042,0.00022,0.0007800000000000001,0.00042,0.00048000000000000007,0.0007800000000000001,0.0007800000000000001,0.00286,0.0013000000000000002,0.00118,0.0005,0.00028000000000000003,0.0009000000000000001,0.0013200000000000002,0.0007000000000000001,0.0010600000000000002,0.0007000000000000001,0.0007000000000000001,0.0008,0.00022,0.0005200000000000001,0.0009600000000000001,0.00046,0.00062,0.0006600000000000001,0.0013800000000000002,0.00030000000000000003,0.0009800000000000002,0.00044,0.00088,0.00044,0.00072,0.0005,0.00064,0.0007400000000000001,0.00102,0.0017000000000000001,0.00064,0.00048000000000000007,0.00072,0.0005600000000000001,0.0007000000000000001,0.00064
